transaction_key,client_key,article_key,date_key,montant_usd,note_avis,mode_paiement,date_achat
2108,4084,4,20221012,128.0,1.2,Cash,2022-10-12
2109,4084,3,20221029,29.0,2.3,Credit Card,2022-10-29
2110,4084,22,20221117,95.0,2.3,Credit Card,2022-11-17
2111,4084,34,20221216,62.0,3.6,Cash,2022-12-16
2112,4084,24,20221222,115.0,2.8,Credit Card,2022-12-22
2113,4084,24,20230125,22.0,3.1,Credit Card,2023-01-25
2114,4084,22,20230203,163.0,3.5,Credit Card,2023-02-03
2115,4084,40,20230203,106.0,1.4,Credit Card,2023-02-03
2116,4084,11,20230216,183.0,2.4,Credit Card,2023-02-16
2117,4084,21,20230220,21.0,4.5,Cash,2023-02-20
2118,4084,30,20230304,190.0,,Cash,2023-03-04
2119,4084,12,20230423,121.0,4.0,Cash,2023-04-23
2120,4084,32,20230502,189.0,4.0,Cash,2023-05-02
2121,4084,11,20230514,94.0,1.2,Credit Card,2023-05-14
2122,4084,33,20230518,17.0,2.1,Cash,2023-05-18
2123,4084,30,20230615,100.0,1.3,Credit Card,2023-06-15
2124,4084,34,20230708,170.0,4.2,Cash,2023-07-08
2125,4084,15,20230807,102.0,4.9,Cash,2023-08-07
2126,4084,23,20230808,156.0,1.3,Credit Card,2023-08-08
2127,4084,29,20230827,123.0,1.7,Cash,2023-08-27
2128,4084,14,20230831,106.0,3.1,Cash,2023-08-31
2129,4085,36,20221027,16.0,2.8,Credit Card,2022-10-27
2130,4085,3,20221029,66.0,3.4,Cash,2022-10-29
2131,4085,38,20221111,111.0,1.6,Credit Card,2022-11-11
2132,4085,5,20221122,134.0,4.4,Credit Card,2022-11-22
2133,4085,36,20230317,20.0,3.0,Cash,2023-03-17
2134,4085,27,20230424,75.0,1.6,Credit Card,2023-04-24
2135,4085,43,20230425,190.0,2.4,Cash,2023-04-25
2136,4085,47,20230428,114.0,1.9,Credit Card,2023-04-28
2137,4085,1,20230513,125.0,2.0,Credit Card,2023-05-13
2138,4085,2,20230629,65.0,1.3,Credit Card,2023-06-29
2139,4085,5,20230731,187.0,,Cash,2023-07-31
2140,4085,34,20230824,58.0,4.8,Credit Card,2023-08-24
2141,4085,47,20230827,122.0,2.8,Cash,2023-08-27
2142,4085,28,20230829,140.0,1.5,Cash,2023-08-29
2143,4086,34,20221015,32.0,4.3,Cash,2022-10-15
2144,4086,15,20221016,55.0,3.5,Cash,2022-10-16
2145,4086,2,20221029,145.0,3.5,Cash,2022-10-29
2146,4086,41,20221207,164.0,1.6,Cash,2022-12-07
2147,4086,20,20221212,99.0,2.9,Cash,2022-12-12
2148,4086,18,20230118,137.0,3.2,Cash,2023-01-18
2149,4086,12,20230126,81.0,1.8,Cash,2023-01-26
2150,4086,10,20230209,41.0,3.3,Credit Card,2023-02-09
2151,4086,29,20230301,142.0,4.4,Credit Card,2023-03-01
2152,4086,39,20230401,187.0,2.5,Cash,2023-04-01
2153,4086,31,20230521,78.0,3.3,Credit Card,2023-05-21
2154,4086,47,20230529,14.0,4.7,Credit Card,2023-05-29
2155,4086,18,20230701,162.0,3.5,Cash,2023-07-01
2156,4086,34,20230718,153.0,4.8,Credit Card,2023-07-18
2157,4086,22,20230722,128.0,5.0,Credit Card,2023-07-22
2158,4086,13,20230807,29.0,1.3,Credit Card,2023-08-07
2159,4086,26,20230819,52.0,4.7,Cash,2023-08-19
2160,4086,7,20230907,152.0,1.7,Credit Card,2023-09-07
2161,4087,45,20221010,102.0,3.1,Cash,2022-10-10
2162,4087,31,20221025,181.0,1.8,Credit Card,2022-10-25
2163,4087,32,20221121,18.0,1.7,Credit Card,2022-11-21
2164,4087,16,20221220,119.0,1.6,Credit Card,2022-12-20
2165,4087,44,20230305,125.0,4.5,Cash,2023-03-05
2166,4087,49,20230602,125.0,2.6,Credit Card,2023-06-02
2167,4087,10,20230705,96.0,2.6,Credit Card,2023-07-05
2168,4087,41,20230820,154.0,4.2,Cash,2023-08-20
2169,4087,31,20230827,109.0,4.6,Credit Card,2023-08-27
2170,4088,43,20221007,127.0,2.8,Credit Card,2022-10-07
2171,4088,50,20221022,99.0,,Credit Card,2022-10-22
2172,4088,43,20221024,40.0,2.6,Credit Card,2022-10-24
2173,4088,16,20221108,157.0,2.8,Cash,2022-11-08
2174,4088,16,20221111,167.0,1.2,Credit Card,2022-11-11
2175,4088,44,20221117,14.0,4.8,Credit Card,2022-11-17
2176,4088,29,20230118,91.0,,Credit Card,2023-01-18
2177,4088,2,20230214,134.0,4.5,Cash,2023-02-14
2178,4088,35,20230316,156.0,,Cash,2023-03-16
2179,4088,39,20230405,180.0,3.8,Cash,2023-04-05
2180,4088,42,20230422,114.0,4.2,Credit Card,2023-04-22
2181,4088,33,20230514,131.0,1.8,Cash,2023-05-14
2182,4088,15,20230521,154.0,4.9,Cash,2023-05-21
2183,4088,29,20230708,118.0,2.7,Credit Card,2023-07-08
2184,4088,20,20230805,15.0,4.7,Credit Card,2023-08-05
2185,4088,26,20230830,27.0,4.0,Cash,2023-08-30
2186,4088,49,20230902,113.0,1.2,Credit Card,2023-09-02
2187,4088,18,20230925,133.0,4.8,Credit Card,2023-09-25
2188,4089,23,20221027,102.0,1.2,Credit Card,2022-10-27
2189,4089,1,20221112,128.0,3.4,Credit Card,2022-11-12
2190,4089,28,20221117,73.0,2.3,Credit Card,2022-11-17
2191,4089,40,20221219,179.0,2.7,Cash,2022-12-19
2192,4089,13,20221227,43.0,3.3,Cash,2022-12-27
2193,4089,23,20230405,189.0,,Credit Card,2023-04-05
2194,4089,5,20230418,90.0,2.1,Cash,2023-04-18
2195,4089,17,20230529,125.0,1.9,Cash,2023-05-29
2196,4089,24,20230713,66.0,4.6,Cash,2023-07-13
2197,4089,50,20230717,133.0,3.2,Credit Card,2023-07-17
2198,4089,43,20230718,200.0,2.7,Cash,2023-07-18
2199,4090,1,20221024,57.0,3.7,Credit Card,2022-10-24
2200,4090,16,20221208,88.0,2.0,Cash,2022-12-08
2201,4090,44,20230111,47.0,2.9,Cash,2023-01-11
2202,4090,44,20230116,152.0,1.5,Cash,2023-01-16
2203,4090,49,20230216,80.0,3.7,Cash,2023-02-16
2204,4090,18,20230218,54.0,3.1,Cash,2023-02-18
2205,4090,10,20230423,123.0,4.7,Cash,2023-04-23
2206,4090,18,20230503,195.0,1.6,Credit Card,2023-05-03
2207,4090,10,20230516,40.0,2.3,Credit Card,2023-05-16
2208,4090,21,20230604,183.0,1.3,Credit Card,2023-06-04
2209,4090,16,20230707,79.0,2.3,Cash,2023-07-07
2210,4090,15,20230725,187.0,4.9,Credit Card,2023-07-25
2211,4090,42,20230815,86.0,1.1,Cash,2023-08-15
2212,4090,17,20230904,68.0,,Credit Card,2023-09-04
2213,4090,27,20230904,31.0,1.5,Credit Card,2023-09-04
2214,4090,35,20230904,59.0,,Cash,2023-09-04
2215,4090,21,20230918,120.0,3.6,Credit Card,2023-09-18
2216,4090,23,20230918,25.0,2.1,Cash,2023-09-18
2217,4090,18,20230929,188.0,4.2,Cash,2023-09-29
2218,4091,49,20221015,154.0,4.0,Credit Card,2022-10-15
2219,4091,37,20221030,22.0,3.3,Cash,2022-10-30
2220,4091,6,20221127,40.0,4.1,Cash,2022-11-27
2221,4091,34,20221206,117.0,3.9,Cash,2022-12-06
2222,4091,24,20230130,148.0,2.7,Cash,2023-01-30
2223,4091,18,20230219,167.0,2.4,Cash,2023-02-19
2224,4091,4,20230305,139.0,,Credit Card,2023-03-05
2225,4091,40,20230324,196.0,3.1,Cash,2023-03-24
2226,4091,7,20230330,57.0,1.8,Cash,2023-03-30
2227,4091,18,20230528,46.0,2.3,Cash,2023-05-28
2228,4091,41,20230715,127.0,3.4,Credit Card,2023-07-15
2229,4091,23,20230722,156.0,4.0,Credit Card,2023-07-22
2230,4091,6,20230724,166.0,4.2,Credit Card,2023-07-24
2231,4091,9,20230819,137.0,1.7,Credit Card,2023-08-19
2232,4092,27,20221002,200.0,1.8,Credit Card,2022-10-02
2233,4092,14,20221028,182.0,1.6,Cash,2022-10-28
2234,4092,19,20221102,114.0,2.2,Credit Card,2022-11-02
2235,4092,45,20221103,13.0,3.4,Credit Card,2022-11-03
2236,4092,24,20221125,180.0,2.7,Cash,2022-11-25
2237,4092,31,20221206,148.0,1.6,Cash,2022-12-06
2238,4092,14,20230101,156.0,,Credit Card,2023-01-01
2239,4092,1,20230105,97.0,3.2,Credit Card,2023-01-05
2240,4092,44,20230215,199.0,4.6,Cash,2023-02-15
2241,4092,33,20230305,41.0,3.5,Credit Card,2023-03-05
2242,4092,30,20230324,110.0,2.2,Cash,2023-03-24
2243,4092,33,20230529,189.0,2.6,Credit Card,2023-05-29
2244,4092,15,20230729,192.0,1.5,Cash,2023-07-29
2245,4092,42,20230812,49.0,4.2,Credit Card,2023-08-12
2246,4092,42,20230906,70.0,4.0,Credit Card,2023-09-06
2247,4093,14,20221002,24.0,2.8,Credit Card,2022-10-02
2248,4093,45,20221017,90.0,1.5,Cash,2022-10-17
2249,4093,27,20221114,193.0,3.2,Credit Card,2022-11-14
2250,4093,34,20221202,57.0,4.7,Credit Card,2022-12-02
2251,4093,49,20221206,146.0,3.1,Cash,2022-12-06
2252,4093,6,20221209,87.0,,Cash,2022-12-09
2253,4093,6,20221221,124.0,2.0,Credit Card,2022-12-21
2254,4093,17,20221221,122.0,2.0,Cash,2022-12-21
2255,4093,7,20230215,51.0,1.5,Cash,2023-02-15
2256,4093,33,20230303,65.0,2.6,Cash,2023-03-03
2257,4093,3,20230323,134.0,4.0,Cash,2023-03-23
2258,4093,39,20230430,36.0,2.3,Cash,2023-04-30
2259,4093,13,20230504,156.0,1.4,Cash,2023-05-04
2260,4093,46,20230525,102.0,2.1,Cash,2023-05-25
2261,4093,43,20230601,68.0,4.2,Cash,2023-06-01
2262,4093,29,20230721,71.0,3.7,Cash,2023-07-21
2263,4093,33,20230817,157.0,1.0,Cash,2023-08-17
2264,4093,28,20230924,109.0,1.3,Credit Card,2023-09-24
2265,4094,2,20221011,30.0,4.5,Cash,2022-10-11
2266,4094,31,20221121,179.0,4.9,Cash,2022-11-21
2267,4094,33,20221224,142.0,3.5,Cash,2022-12-24
2268,4094,41,20230105,151.0,4.6,Cash,2023-01-05
2269,4094,30,20230131,43.0,1.9,Credit Card,2023-01-31
2270,4094,49,20230207,129.0,1.8,Credit Card,2023-02-07
2271,4094,45,20230213,17.0,2.5,Credit Card,2023-02-13
2272,4094,50,20230331,149.0,2.1,Credit Card,2023-03-31
2273,4094,10,20230427,25.0,4.7,Cash,2023-04-27
2274,4094,33,20230601,95.0,1.1,Credit Card,2023-06-01
2275,4094,5,20230605,127.0,2.9,Credit Card,2023-06-05
2276,4094,2,20230704,199.0,1.8,Credit Card,2023-07-04
2277,4094,19,20230719,103.0,5.0,Cash,2023-07-19
2278,4094,42,20230815,93.0,1.1,Cash,2023-08-15
2279,4094,34,20230819,185.0,2.0,Credit Card,2023-08-19
2280,4095,48,20221025,197.0,4.5,Credit Card,2022-10-25
2281,4095,26,20221109,190.0,5.0,Cash,2022-11-09
2282,4095,37,20221113,24.0,1.5,Cash,2022-11-13
2283,4095,8,20221230,116.0,4.0,Cash,2022-12-30
2284,4095,13,20230103,10.0,1.8,Cash,2023-01-03
2285,4095,38,20230103,74.0,4.7,Credit Card,2023-01-03
2286,4095,12,20230115,54.0,2.1,Credit Card,2023-01-15
2287,4095,15,20230308,168.0,1.4,Credit Card,2023-03-08
2288,4095,17,20230308,82.0,2.9,Credit Card,2023-03-08
2289,4095,30,20230320,77.0,1.5,Credit Card,2023-03-20
2290,4095,32,20230428,93.0,4.3,Cash,2023-04-28
2291,4095,27,20230510,118.0,1.2,Credit Card,2023-05-10
2292,4095,49,20230517,199.0,4.1,Cash,2023-05-17
2293,4095,39,20230702,13.0,3.9,Credit Card,2023-07-02
2294,4095,22,20230712,15.0,,Credit Card,2023-07-12
2295,4095,38,20230715,74.0,1.3,Credit Card,2023-07-15
2296,4095,6,20230914,16.0,1.1,Credit Card,2023-09-14
2297,4096,16,20221017,118.0,4.4,Cash,2022-10-17
2298,4096,38,20221104,56.0,4.9,Cash,2022-11-04
2299,4096,4,20221206,88.0,1.8,Credit Card,2022-12-06
2300,4096,32,20230211,147.0,4.1,Credit Card,2023-02-11
2301,4096,28,20230410,2383.0,,Credit Card,2023-04-10
2302,4096,36,20230419,156.0,4.4,Cash,2023-04-19
2303,4096,10,20230504,72.0,2.5,Cash,2023-05-04
2304,4096,37,20230616,17.0,2.4,Credit Card,2023-06-16
2305,4096,34,20230811,173.0,3.7,Cash,2023-08-11
2306,4096,36,20230930,83.0,,Cash,2023-09-30
2307,4097,43,20221010,174.0,3.4,Cash,2022-10-10
2308,4097,17,20221130,11.0,3.5,Cash,2022-11-30
2309,4097,27,20230207,187.0,1.6,Cash,2023-02-07
2310,4097,21,20230315,3126.0,3.2,Cash,2023-03-15
2311,4097,45,20230322,134.0,4.4,Credit Card,2023-03-22
2312,4097,2,20230524,171.0,4.1,Cash,2023-05-24
2313,4097,43,20230527,92.0,4.7,Cash,2023-05-27
2314,4097,7,20230607,31.0,4.0,Credit Card,2023-06-07
2315,4098,12,20221008,136.0,4.0,Cash,2022-10-08
2316,4098,12,20221022,134.0,1.0,Cash,2022-10-22
2317,4098,33,20221208,148.0,4.5,Credit Card,2022-12-08
2318,4098,38,20221210,142.0,1.8,Cash,2022-12-10
2319,4098,28,20221211,100.0,3.0,Cash,2022-12-11
2320,4098,14,20221229,116.0,3.6,Credit Card,2022-12-29
2321,4098,24,20221229,18.0,1.1,Credit Card,2022-12-29
2322,4098,29,20230204,79.0,5.0,Credit Card,2023-02-04
2323,4098,9,20230407,44.0,2.6,Credit Card,2023-04-07
2324,4098,8,20230418,48.0,2.7,Cash,2023-04-18
2325,4098,2,20230616,85.0,1.2,Credit Card,2023-06-16
2326,4098,47,20230714,114.0,,Cash,2023-07-14
2327,4098,23,20230719,99.0,1.7,Cash,2023-07-19
2328,4098,4,20230823,24.0,3.7,Credit Card,2023-08-23
2329,4098,32,20230829,37.0,4.2,Credit Card,2023-08-29
2330,4098,15,20230830,175.0,,Cash,2023-08-30
2331,4098,9,20230921,96.0,3.5,Credit Card,2023-09-21
2332,4099,3,20221025,4232.0,2.7,Credit Card,2022-10-25
2333,4099,33,20221208,198.0,3.5,Cash,2022-12-08
2334,4099,10,20230107,161.0,4.1,Cash,2023-01-07
2335,4099,20,20230108,106.0,4.5,Cash,2023-01-08
2336,4099,43,20230221,31.0,2.0,Credit Card,2023-02-21
2337,4099,33,20230308,127.0,2.2,Cash,2023-03-08
2338,4099,12,20230408,196.0,4.8,Credit Card,2023-04-08
2339,4099,41,20230421,98.0,2.9,Credit Card,2023-04-21
2340,4099,45,20230430,37.0,2.8,Cash,2023-04-30
2341,4099,32,20230520,138.0,2.9,Credit Card,2023-05-20
2342,4099,1,20230529,133.0,1.3,Cash,2023-05-29
2343,4099,14,20230806,88.0,4.9,Cash,2023-08-06
2344,4099,25,20230904,84.0,1.3,Cash,2023-09-04
2345,4099,33,20230906,88.0,4.8,Credit Card,2023-09-06
2346,4099,37,20230914,86.0,1.2,Credit Card,2023-09-14
2347,4099,33,20230916,199.0,1.9,Cash,2023-09-16
2348,4100,3,20221104,39.0,2.9,Credit Card,2022-11-04
2349,4100,27,20221216,166.0,2.0,Cash,2022-12-16
2350,4100,12,20221227,51.0,1.7,Credit Card,2022-12-27
2351,4100,9,20230206,102.0,3.8,Cash,2023-02-06
2352,4100,29,20230209,138.0,4.8,Credit Card,2023-02-09
2353,4100,22,20230302,147.0,3.9,Credit Card,2023-03-02
2354,4100,10,20230420,110.0,4.1,Cash,2023-04-20
2355,4100,17,20230524,13.0,3.7,Credit Card,2023-05-24
2356,4100,43,20230529,197.0,1.8,Cash,2023-05-29
2357,4100,44,20230529,97.0,1.4,Credit Card,2023-05-29
2358,4100,37,20230618,64.0,1.2,Credit Card,2023-06-18
2359,4100,14,20230815,199.0,3.2,Cash,2023-08-15
2360,4100,39,20230815,154.0,3.3,Credit Card,2023-08-15
2361,4100,6,20230910,88.0,,Credit Card,2023-09-10
2362,4100,22,20230923,183.0,4.1,Credit Card,2023-09-23
2363,4101,8,20221126,148.0,3.5,Credit Card,2022-11-26
2364,4101,15,20221206,93.0,3.6,Credit Card,2022-12-06
2365,4101,23,20221214,48.0,1.7,Cash,2022-12-14
2366,4101,29,20230131,188.0,4.3,Credit Card,2023-01-31
2367,4101,3,20230320,168.0,1.0,Credit Card,2023-03-20
2368,4101,29,20230703,142.0,4.0,Credit Card,2023-07-03
2369,4101,28,20230906,87.0,,Cash,2023-09-06
2370,4101,26,20230922,69.0,1.6,Credit Card,2023-09-22
2371,4102,26,20221031,105.0,3.1,Cash,2022-10-31
2372,4102,37,20221106,195.0,,Cash,2022-11-06
2373,4102,30,20221111,85.0,1.4,Credit Card,2022-11-11
2374,4102,26,20230104,52.0,1.7,Credit Card,2023-01-04
2375,4102,1,20230111,109.0,2.3,Cash,2023-01-11
2376,4102,45,20230129,2130.0,4.8,Cash,2023-01-29
2377,4102,45,20230130,86.0,3.1,Cash,2023-01-30
2378,4102,37,20230131,17.0,2.7,Cash,2023-01-31
2379,4102,33,20230301,120.0,3.1,Cash,2023-03-01
2380,4102,28,20230303,121.0,4.8,Credit Card,2023-03-03
2381,4102,30,20230314,78.0,4.3,Cash,2023-03-14
2382,4102,17,20230327,178.0,4.6,Credit Card,2023-03-27
2383,4102,41,20230406,197.0,3.6,Cash,2023-04-06
2384,4102,36,20230523,191.0,1.7,Cash,2023-05-23
2385,4102,8,20230605,175.0,3.6,Credit Card,2023-06-05
2386,4102,21,20230621,54.0,1.8,Credit Card,2023-06-21
2387,4102,23,20230703,77.0,3.8,Cash,2023-07-03
2388,4102,26,20230731,96.0,2.0,Credit Card,2023-07-31
2389,4102,50,20230907,19.0,3.4,Credit Card,2023-09-07
2390,4103,12,20221013,183.0,3.2,Cash,2022-10-13
2391,4103,19,20221016,149.0,5.0,Cash,2022-10-16
2392,4103,33,20221021,67.0,1.7,Credit Card,2022-10-21
2393,4103,30,20221121,4465.0,,Credit Card,2022-11-21
2394,4103,19,20221222,47.0,3.6,Credit Card,2022-12-22
2395,4103,46,20221227,31.0,4.4,Credit Card,2022-12-27
2396,4103,21,20230107,76.0,1.2,Cash,2023-01-07
2397,4103,22,20230210,147.0,2.3,Cash,2023-02-10
2398,4103,43,20230303,48.0,2.1,Cash,2023-03-03
2399,4103,29,20230331,182.0,3.0,Cash,2023-03-31
2400,4103,25,20230403,105.0,3.3,Credit Card,2023-04-03
2401,4103,31,20230419,105.0,4.8,Cash,2023-04-19
2402,4103,41,20230430,73.0,2.6,Cash,2023-04-30
2403,4103,10,20230505,44.0,1.6,Cash,2023-05-05
2404,4103,45,20230610,101.0,1.8,Cash,2023-06-10
2405,4103,19,20230627,173.0,1.4,Cash,2023-06-27
2406,4103,37,20230712,75.0,2.9,Credit Card,2023-07-12
2407,4103,18,20230720,131.0,3.1,Credit Card,2023-07-20
2408,4103,1,20230722,93.0,4.0,Credit Card,2023-07-22
2409,4103,33,20230920,80.0,4.1,Credit Card,2023-09-20
2410,4104,1,20221222,123.0,3.7,Credit Card,2022-12-22
2411,4104,30,20230109,194.0,2.0,Cash,2023-01-09
2412,4104,47,20230213,196.0,1.2,Cash,2023-02-13
2413,4104,39,20230320,172.0,1.5,Credit Card,2023-03-20
2414,4104,26,20230427,200.0,4.0,Credit Card,2023-04-27
2415,4104,1,20230527,69.0,2.1,Cash,2023-05-27
2416,4104,26,20230602,195.0,2.5,Cash,2023-06-02
2417,4104,28,20230606,28.0,3.0,Credit Card,2023-06-06
2418,4104,29,20230704,125.0,4.4,Credit Card,2023-07-04
2419,4104,29,20230707,89.0,3.9,Credit Card,2023-07-07
2420,4104,25,20230712,68.0,1.8,Cash,2023-07-12
2421,4104,45,20230803,19.0,1.3,Cash,2023-08-03
2422,4104,41,20230815,199.0,4.4,Cash,2023-08-15
2423,4104,20,20230825,87.0,1.9,Credit Card,2023-08-25
2424,4104,20,20230930,81.0,3.8,Cash,2023-09-30
2425,4105,10,20221020,164.0,3.2,Credit Card,2022-10-20
2426,4105,31,20221031,81.0,4.5,Credit Card,2022-10-31
2427,4105,21,20221109,23.0,3.7,Credit Card,2022-11-09
2428,4105,2,20221117,32.0,3.1,Credit Card,2022-11-17
2429,4105,15,20221122,37.0,1.7,Cash,2022-11-22
2430,4105,20,20221221,127.0,2.6,Credit Card,2022-12-21
2431,4105,23,20230117,169.0,1.5,Cash,2023-01-17
2432,4105,32,20230118,42.0,2.5,Credit Card,2023-01-18
2433,4105,36,20230131,132.0,3.3,Credit Card,2023-01-31
2434,4105,27,20230205,45.0,2.5,Cash,2023-02-05
2435,4105,7,20230315,189.0,1.5,Credit Card,2023-03-15
2436,4105,42,20230318,148.0,,Credit Card,2023-03-18
2437,4105,18,20230328,170.0,,Cash,2023-03-28
2438,4105,27,20230329,29.0,2.8,Cash,2023-03-29
2439,4105,35,20230409,90.0,,Cash,2023-04-09
2440,4105,33,20230415,23.0,2.0,Credit Card,2023-04-15
2441,4105,22,20230525,12.0,4.4,Credit Card,2023-05-25
2442,4105,13,20230606,126.0,3.5,Cash,2023-06-06
2443,4105,42,20230722,133.0,2.5,Credit Card,2023-07-22
2444,4105,43,20230728,62.0,4.4,Credit Card,2023-07-28
2445,4105,2,20230729,72.0,1.7,Credit Card,2023-07-29
2446,4105,16,20230908,52.0,,Credit Card,2023-09-08
2447,4106,42,20221019,175.0,,Credit Card,2022-10-19
2448,4106,17,20221109,141.0,3.2,Credit Card,2022-11-09
2449,4106,43,20221116,111.0,3.8,Cash,2022-11-16
2450,4106,2,20221201,87.0,4.7,Credit Card,2022-12-01
2451,4106,50,20221217,175.0,1.6,Credit Card,2022-12-17
2452,4106,43,20221230,162.0,2.6,Cash,2022-12-30
2453,4106,32,20230302,88.0,3.8,Cash,2023-03-02
2454,4106,47,20230326,65.0,1.0,Cash,2023-03-26
2455,4106,34,20230416,115.0,1.9,Credit Card,2023-04-16
2456,4106,28,20230418,33.0,2.9,Credit Card,2023-04-18
2457,4106,8,20230426,49.0,4.3,Cash,2023-04-26
2458,4106,33,20230517,173.0,1.1,Cash,2023-05-17
2459,4106,36,20230802,48.0,4.9,Cash,2023-08-02
2460,4106,16,20230806,108.0,1.3,Cash,2023-08-06
2461,4106,14,20230816,65.0,4.6,Cash,2023-08-16
2462,4106,36,20230820,184.0,5.0,Credit Card,2023-08-20
2463,4106,46,20230907,173.0,3.4,Credit Card,2023-09-07
2464,4107,8,20221028,19.0,2.8,Credit Card,2022-10-28
2465,4107,48,20221218,81.0,3.2,Credit Card,2022-12-18
2466,4107,43,20230126,178.0,3.2,Cash,2023-01-26
2467,4107,1,20230203,178.0,4.6,Cash,2023-02-03
2468,4107,44,20230228,70.0,,Cash,2023-02-28
2469,4107,25,20230409,150.0,1.1,Credit Card,2023-04-09
2470,4107,50,20230424,30.0,2.2,Cash,2023-04-24
2471,4107,2,20230506,62.0,1.4,Credit Card,2023-05-06
2472,4107,34,20230508,164.0,3.7,Cash,2023-05-08
2473,4107,18,20230520,80.0,4.2,Credit Card,2023-05-20
2474,4107,45,20230520,71.0,1.7,Cash,2023-05-20
2475,4107,21,20230618,164.0,2.0,Credit Card,2023-06-18
2476,4107,9,20230622,179.0,1.7,Credit Card,2023-06-22
2477,4107,33,20230628,60.0,4.6,Cash,2023-06-28
2478,4107,41,20230702,110.0,4.1,Cash,2023-07-02
2479,4107,41,20230702,112.0,1.4,Credit Card,2023-07-02
2480,4107,33,20230706,183.0,2.0,Credit Card,2023-07-06
2481,4107,24,20230727,192.0,2.2,Credit Card,2023-07-27
2482,4108,14,20221002,50.0,2.1,Credit Card,2022-10-02
2483,4108,15,20221025,54.0,2.6,Credit Card,2022-10-25
2484,4108,34,20221202,177.0,2.3,Cash,2022-12-02
2485,4108,50,20221227,63.0,2.0,Credit Card,2022-12-27
